Timestamp,"Faced with unclear or ambiguous requirements, I still find myself working hard to get the code to do exactly what's expected.","I don't feel comfortable calling something ""done"" until I've thoroughly tested my code, including edge cases. It is a top priority for me.",Discovering even a minor functional bug in my released code feels like a significant failure.,"I often profile or analyze my code to find opportunities to make it run faster or use less memory, even if it already works.","When choosing libraries or algorithms, I actively consider their impact on speed and resource consumption.",I prioritize writing code that is clear and easy for other developers (or my future self) to understand.,"I consciously structure my code (e.g., using clear patterns, keeping functions focused) to make future modifications or extensions easier. ",Taking the time to add helpful comments or documentation to explain complex or non-obvious parts of the code is important to me.,I make it a point to follow established security best practices and guidelines relevant to my work. ,"When making architectural decisions, I consider how easily the system could be expanded to handle significantly more traffic","If test results look bad, I will openly share these findings- even if it might reflect poorly on me or my team.","I willingly set aside time to help less experienced teammates understand tricky code or concepts, even when it slows down my own tasks.","I would spend extra time or resources checking for potential bias  (bias meaning a consistent inaccuracy or skew in how the code processes or interprets data) in my code, even if it wasn’t strictly required.","For a high-stakes system (e.g., determining eligibility for life-saving medical treatment), I believe fairness (ensuring that individuals or groups are not disadvantaged based on race, gender, disability, etc.) checks are absolutely crucial, even if they add delay to development.  ",I’d be willing to delay a product launch if I suspect user data isn’t well-protected.,"Even for a ‘simple’ analytics feature, I worry about privacy leaks and try to guard user data.","When project pressure rises, I actively work to maintain communication with teammates respectful to keep team morale high.","When something goes wrong, it’s usually everyone’s responsibility to fix it, not just the person who wrote the code.",I sometimes soften or withhold critical feedback during code reviews to avoid hurting a teammate’s feelings and keep our working relationships positive,"If my manager asked me to implement a feature I believe is morally questionable, I’d seriously consider refusing, regardless of the consequences.",I think about the potential negative impacts of my software on society (like spreading misinformation) before deciding how to implement features.,"If implementing a profitable feature raises concerns about negative impacts on a specific user group, I’d still work on it, if it's part of the company's requirements.  ",What country are you from?,What is your current level of professional software development experience?,How do you identify yourself?,Which category best describes your primary role?,How critical is functional correctness in your typical projects?,"My commitment to absolute correctness changes significantly depending on how critical (i.e., the extent to which errors could cause serious consequences) the project is.",Are you working part-time?,"Considering the project(s) you primarily work on now, how important or impactful do you personally feel this work is to the company?",Correctness (the software does exactly what it's supposed to) is highly important to me in my work. ,Best practices (state of the art technology and security standards) is highly important to me in my work.,Maintainability (refers to how easy it is for developers to manage the code after its initial deployment) is highly important to me in my work.,Fairness (ensuring the code does not discriminate against any group of users) is highly important to me in my work.,Accountability and Transparency (owning up to your role in the software’s outcomes- good or bad) is highly important to me in my work.,Respect/Human Relations (treating end-users with empathy and understanding) is highly important to me in my work.,"Broader Social Impact (considering how the software affects society at large, beyond direct business objectives) is highly important to me in my work.",Privacy (safeguarding user data and respecting confidentiality) is highly important to me in my work.,Below are eight values that might influence how you develop software. What is the most important to you?,Below are eight values that might influence how you develop software. What is the least important to you?,Are there any other values or considerations (technical or ethical) you feel are missing from this survey?,"In your own words, describe shortly how does the level of project criticality affect which values you prioritize most?",What country are you from?,What is your current level of professional software development experience?,How do you identify yourself?,Which category best describes your primary role?,How critical is functional correctness in your typical projects?,"My commitment to absolute correctness changes significantly depending on how critical (i.e., the extent to which errors could cause serious consequences) the project is.",Are you working part-time?,We would greatly appreciate it if you could share this survey with others working in software development.,"Considering the project(s) you primarily work on now, how important or impactful do you personally feel this work is to the company?",Correctness (the software does exactly what it's supposed to) is highly important to me in my work. ,Best practices (state of the art technology and security standards) is highly important to me in my work.,Maintainability (refers to how easy it is for developers to manage the code after its initial deployment) is highly important to me in my work.,Fairness (ensuring the code does not discriminate against any group of users) is highly important to me in my work.,Accountability and Transparency (owning up to your role in the software’s outcomes- good or bad) is highly important to me in my work.,12. Respect/Human Relations (treating end-users with empathy and understanding) is highly important to me in my work.,"Broader Social Impact (considering how the software affects society at large, beyond direct business objectives) is highly important to me in my work.",Privacy (safeguarding user data and respecting confidentiality) is highly important to me in my work.
5/14/2025 15:45:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2025 10:31:42,3,7,4,2,6,6,6,4,2,4,6,6,4,6,3,6,6,6,6,3,4,3,Israel,Mid-Level Developer (3-5 yrs),Female,Data Science/ ML Engineer/ AI Engineer,High Criticality,Yes,,7,7,5,6,4,5,7,3,5,Correctness,Broader Social Impact,No,"If it's important, then i'll prioritize correctness",,,,,,,,,,,,,,,,,
5/15/2025 10:50:05,6,3,2,5,4,3,5,4,6,5,6,5,5,7,7,6,6,3,5,4,6,6,israel,Mid-Level Developer (3-5 yrs),Female,Backend,High Criticality,Yes,,6,7,5,4,6,4,7,6,6,Privacy,Software Standards,," if the project is critical most of the times it means that the project has a big impact on the customer, so I want ensure we are protecting customers' privacy",,,,,,,,,,,,,,,,,
5/15/2025 12:29:53,7,7,7,2,1,7,7,7,7,6,2,7,1,7,2,1,7,1,6,6,4,7,Israel,Student,Female,Student,Medium Criticality,Yes,,6,7,4,3,7,6,7,5,7,Accountability and Transparency,Software Standards,,,,,,,,,,,,,,,,,,,
5/16/2025 10:33:38,5,4,3,2,2,5,6,4,4,5,3,7,4,7,7,5,3,3,6,7,6,2,Israel,Mid-Level Developer (3-5 yrs),Male,Backend,Varies Greatly,Yes,,3,5,3,5,6,3,7,4,7,Broader Social Impact,Software Standards,"Perhaps ""simplicity"" as a technical value","In projects that are defined to be more critical, I tend to prioritize the correctness and maintainability higher. If the schedule is tight, good relationships become a bit less prioritized - I defend my opinions more strongly. Broader social impact and privacy would always be a top priority, no matter how critical the project (but in my current work they don't tend to play a major issue anyway, since my company does not really have any contact with users...)",,,,,,,,,,,,,,,,,
5/18/2025 19:10:53,4,3,1,5,3,6,6,7,5,4,6,7,4,7,6,5,6,3,5,5,4,3,Israel,Senior Developer (6+ yrs),Male,Data Science/ ML Engineer/ AI Engineer,High Criticality,Yes,No,7,7,5,7,3,6,5,4,4,Correctness,Software Standards,,,,,,,,,,,,,,,,,,,
5/18/2025 19:38:57,7,6,3,6,3,6,7,7,5,7,7,6,4,3,4,3,5,5,2,2,4,5,Israel ,Mid-Level Developer (3-5 yrs),Male,DevOps,High Criticality,Yes,No,5,7,4,7,5,5,6,4,6,Correctness,Broader Social Impact,,,,,,,,,,,,,,,,,,,
5/18/2025 19:39:25,5,5,5,2,3,7,6,7,7,2,7,5,6,7,5,7,6,2,3,7,6,1,Israel,Mid-Level Developer (3-5 yrs),Male,Backend,Medium Criticality,Yes,No,6,7,6,7,7,7,7,5,7,Broader Social Impact,Work relationships/Organizational visibility,No,If the project is important to the organization it gives me energy and get me the feeling impactfull which leads to more correctness maintainability ,,,,,,,,,,,,,,,,,
5/18/2025 19:45:54,,7,1,7,7,7,7,7,,,7,,4,,,,7,1,1,1,,7,Israel,Junior Developer (0-2 yrs),Male,Data Science/ ML Engineer/ AI Engineer,Varies Greatly,Yes,No,,7,7,,,,7,5,,Work relationships/Organizational visibility,Fairness,,,,,,,,,,,,,,,,,,,
5/18/2025 20:06:45,7,7,2,6,6,7,6,7,7,6,7,7,7,2,6,7,7,4,2,3,2,5,Israel,Senior Developer (6+ yrs),Male,Full-Stack,High Criticality,Yes,No,7,7,7,7,2,7,2,4,3,Maintainability,Fairness,,,,,,,,,,,,,,,,,,,
5/18/2025 21:35:22,6,6,4,5,6,6,6,5,5,5,6,6,5,3,,,6,6,3,4,,5,United States,Junior Developer (0-2 yrs),Male,Other,Medium Criticality,Yes,No,5,6,5,6,,7,6,5,6,Correctness,Software Standards,No,On highly critical projects I would prioritize correctness over other things. On low critical projects other considerations have more say.,,,,,,,,,,,,,,,,,
